iter	Passed	Remaining
0	10	10681
1	17	8893
2	30	10280
3	43	10846
4	64	12786
5	74	12389
6	87	12435
7	92	11484
8	106	11746
9	132	13119
10	149	13403
11	151	12505
12	165	12575
13	179	12654
14	206	13529
15	219	13524
16	227	13151
17	240	13134
18	255	13176
19	262	12846
20	273	12735
21	281	12530
22	292	12433
23	306	12446
24	312	12205
25	327	12271
26	341	12288
27	354	12321
28	361	12117
29	368	11918
30	381	11921
31	394	11942
32	406	11897
33	410	11669
34	425	11726
35	441	11811
36	455	11856
37	469	11877
38	473	11674
39	486	11686
40	500	11697
41	513	11710
42	528	11766
43	543	11804
44	550	11673
45	564	11701
46	572	11600
47	578	11475
48	588	11415
49	602	11449
50	611	11375
51	625	11403
52	640	11448
53	656	11495
54	667	11465
55	695	11724
56	713	11795
57	727	11815
58	743	11857
59	758	11883
60	770	11868
61	785	11879
62	794	11815
63	797	11657
64	811	11667
65	820	11616
66	825	11495
67	837	11479
68	842	11367
69	859	11422
70	864	11316
71	871	11237
72	887	11274
73	903	11305
74	918	11332
75	932	11331
76	949	11381
77	955	11293
78	960	11194
79	970	11159
80	986	11189
81	1000	11201
82	1014	11205
83	1024	11166
84	1041	11215
85	1058	11252
86	1074	11271
87	1090	11301
88	1106	11326
89	1122	11346
90	1139	11384
91	1158	11430
92	1176	11475
93	1199	11560
94	1220	11629
95	1242	11695
96	1264	11769
97	1280	11787
98	1302	11856
99	1306	11755
100	1324	11792
101	1338	11784
102	1353	11789
103	1370	11805
104	1384	11802
105	1398	11797
106	1411	11784
107	1417	11706
108	1431	11697
109	1437	11632
110	1452	11632
111	1466	11626
112	1480	11620
113	1485	11542
114	1498	11535
115	1505	11474
116	1521	11481
117	1539	11510
118	1556	11522
119	1572	11532
120	1591	11563
121	1612	11607
122	1632	11642
123	1653	11681
124	1666	11665
125	1682	11667
126	1699	11683
127	1716	11691
128	1731	11690
129	1746	11687
130	1758	11667
131	1765	11609
132	1781	11614
133	1796	11610
134	1801	11541
135	1815	11536
136	1820	11468
137	1845	11529
138	1856	11498
139	1867	11471
140	1871	11404
141	1877	11347
142	1892	11341
143	1906	11331
144	1918	11312
145	1923	11250
146	1938	11250
147	1954	11251
148	1971	11261
149	1987	11261
150	2003	11267
151	2021	11276
152	2039	11289
153	2054	11284
154	2060	11231
155	2074	11222
156	2083	11189
157	2098	11182
158	2113	11176
159	2127	11167
160	2131	11108
161	2145	11098
162	2148	11031
163	2166	11042
164	2173	11000
165	2187	10988
166	2202	10987
167	2219	10991
168	2234	10988
169	2249	10980
170	2263	10974
171	2278	10969
172	2293	10961
173	2306	10948
174	2319	10935
175	2334	10927
176	2341	10889
177	2354	10873
178	2368	10864
179	2383	10860
180	2400	10863
181	2416	10860
182	2421	10811
183	2436	10803
184	2455	10816
185	2471	10815
186	2485	10804
187	2493	10767
188	2507	10760
189	2521	10750
190	2535	10738
